id,owner_user_id,ca_id,hsm_key_id,serial_number,public_key,thumbprint ,algorithm,valid_from,valid_to,status,replace_cert_id,device_id
14,14,14,14,CERT-2024-014,1c3e5a7d9b2f4c6e8a0d1f3b5c7e9a2d,1c3e5a7d9b2f4c6e8a0d1f3b5c7e9a2dd5a7c9e1,RSA-2048,2024-04-15,2026-04-15,REVOKED,32,14
15,15,15,15,CERT-2024-015,d5a7c9e1f3b4c6d8a0e2f4a6b8c1d3e5,d5a7c9e1f3b4c6d8a0e2f4a6b8c1d3e58f0c2e4a,RSA-2048,2024-04-20,2026-04-20,REVOKED,33,15
16,16,16,16,CERT-2024-016,8f0c2e4a6d8b1f3c5e7a9d2b4c6e8a1d,8f0c2e4a6d8b1f3c5e7a9d2b4c6e8a1d3b5d7f9a,ECDSA-P256,2024-05-01,2026-05-01,REVOKED,34,16
17,17,17,17,CERT-2024-017,3b5d7f9a1c4e6a8d0f2c4e6a8d1b3f5c,3b5d7f9a1c4e6a8d0f2c4e6a8d1b3f5ca7c9e1d3,RSA-2048,2024-05-05,2026-05-05,REVOKED,35,17
18,18,18,18,CERT-2024-018,a7c9e1d3b5f7a9c2e4d6b8f0a1c3e5d7,a7c9e1d3b5f7a9c2e4d6b8f0a1c3e5d7f9b1d3a5,RSA-4096,2024-05-10,2026-05-10,REVOKED,36,18
19,19,19,19,CERT-2024-019,f9b1d3a5c7e9f2a4c6e8d0b2a4c6e8f1,f9b1d3a5c7e9f2a4c6e8d0b2a4c6e8f12a4c6e8f,RSA-2048,2024-05-15,2026-05-15,REVOKED,37,19
20,20,20,20,CERT-2024-020,2a4c6e8f0b1d3a5c7e9f2a4c6e8d0b2a,2a4c6e8f0b1d3a5c7e9f2a4c6e8d0b2aa3f9c2e1,ECDSA-P256,2024-05-20,2026-05-20,REVOKED,38,20
21,1,1,21,CERT-2024-021-R,91c0e2d4f3a7b9c1a3f9c2e18b7d4f6a,91c0e2d4f3a7b9c1a3f9c2e18b7d4f6a5b7e3a9d,RSA-2048,2024-03-05,2026-03-05,ACTIVE,NULL,1
22,2,2,22,CERT-2024-022-R,6d0c9b3f7a1e2d4c5b7e3a9d1c4f8a2e,6d0c9b3f7a1e2d4c5b7e3a9d1c4f8a2ec9e1a7b3,RSA-2048,2024-03-10,2026-03-10,ACTIVE,NULL,2
23,5,5,25,CERT-2024-025-R,e8f0b1d3a5c7e9f2f1a3c5e7b9d2a4c6,e8f0b1d3a5c7e9f2f1a3c5e7b9d2a4c67c2e4a6d,RSA-2048,2024-02-10,2026-02-10,ACTIVE,NULL,5
24,6,6,26,CERT-2024-026-R,5a9d7f2b4c6e8a1d7c2e4a6d8b0f1c3e,5a9d7f2b4c6e8a1d7c2e4a6d8b0f1c3ed3f7b1a5,ECDSA-P256,2024-02-20,2026-02-20,ACTIVE,NULL,6
25,7,7,27,CERT-2024-027-R,b8f0c1e3a5d7b9c2d3f7b1a5c9e2d4a6,b8f0c1e3a5d7b9c2d3f7b1a5c9e2d4a69a4c6e8f,RSA-2048,2024-03-05,2026-03-05,ACTIVE,NULL,7
26,8,8,28,CERT-2024-028-R,2e0f9b1d4a6c8e2f9a4c6e8f1d3b5a7c,2e0f9b1d4a6c8e2f9a4c6e8f1d3b5a7c2e8b4c6d,RSA-2048,2024-03-10,2026-03-10,ACTIVE,NULL,8
27,9,9,29,CERT-2024-029-R,7b9d2a4f6c8e1d3a2e8b4c6d0a1f3c5e,7b9d2a4f6c8e1d3a2e8b4c6d0a1f3c5e6a9d3c1e,ECDSA-P256,2024-03-15,2026-03-15,ACTIVE,NULL,9
28,10,10,30,CERT-2024-030-R,8e0d1f3b5a7c9e2d6a9d3c1e5f7b2a4c,8e0d1f3b5a7c9e2d6a9d3c1e5f7b2a4cb1d3f5a7,RSA-2048,2024-03-20,2026-03-20,ACTIVE,NULL,10
29,11,11,31,CERT-2024-031-R,b8f0c2e4a6d8f1b3b1d3f5a7c9e2d4a6,b8f0c2e4a6d8f1b3b1d3f5a7c9e2d4a64c6e8a1d,RSA-4096,2024-04-05,2026-04-05,ACTIVE,NULL,11
30,12,12,32,CERT-2024-032-R,2a4d6f8b0c1e3a5d4c6e8a1d3f5b7c9e,2a4d6f8b0c1e3a5d4c6e8a1d3f5b7c9ee2f4a6c8,RSA-2048,2024-04-10,2026-04-10,ACTIVE,NULL,12
31,13,13,33,CERT-2024-033-R,e7f9b2d4a6c8e0f1e2f4a6c8d0b1a3c5,e7f9b2d4a6c8e0f1e2f4a6c8d0b1a3c51c3e5a7d,ECDSA-P256,2024-04-15,2026-04-15,ACTIVE,NULL,13
32,14,14,34,CERT-2024-034-R,8a0d1f3b5c7e9a2d1c3e5a7d9b2f4c6e,8a0d1f3b5c7e9a2d1c3e5a7d9b2f4c6ed5a7c9e1,RSA-2048,2024-04-20,2026-04-20,ACTIVE,NULL,14
33,15,15,35,CERT-2024-035-R,a0e2f4a6b8c1d3e5d5a7c9e1f3b4c6d8,a0e2f4a6b8c1d3e5d5a7c9e1f3b4c6d88f0c2e4a,RSA-2048,2024-04-25,2026-04-25,ACTIVE,NULL,15
34,16,16,36,CERT-2024-036-R,5e7a9d2b4c6e8a1d8f0c2e4a6d8b1f3c,5e7a9d2b4c6e8a1d8f0c2e4a6d8b1f3c3b5d7f9a,ECDSA-P256,2024-05-05,2026-05-05,ACTIVE,NULL,16
35,17,17,37,CERT-2024-037-R,0f2c4e6a8d1b3f5c3b5d7f9a1c4e6a8d,0f2c4e6a8d1b3f5c3b5d7f9a1c4e6a8da7c9e1d3,RSA-2048,2024-05-10,2026-05-10,ACTIVE,NULL,17
36,18,18,38,CERT-2024-038-R,e4d6b8f0a1c3e5d7a7c9e1d3b5f7a9c2,e4d6b8f0a1c3e5d7a7c9e1d3b5f7a9c2f9b1d3a5,RSA-4096,2024-05-15,2026-05-15,ACTIVE,NULL,18
37,19,19,39,CERT-2024-039-R,a4c6e8d0b2a4c6e8f1f9b1d3a5c7e9f2,a4c6e8d0b2a4c6e8f1f9b1d3a5c7e9f22a4c6e8f,RSA-2048,2024-05-20,2026-05-20,ACTIVE,NULL,19
38,20,20,40,CERT-2024-040-R,7e9f2a4c6e8d0b2a2a4c6e8f0b1d3a5c,7e9f2a4c6e8d0b2a2a4c6e8f0b1d3a5ca3f9c2e1,ECDSA-P256,2024-05-25,2026-05-25,ACTIVE,NULL,20
